lab_name,adults,kids
LMU_munich,32,32
Göttinger Kindsköpfe (PI: Hannes Rakoczy),32,16
ToM Kinderlabor (Josef Perner),32,16
Casey Lew-Williams,16,16
Concordia Infant Research Lab (Krista Byers-Heinlein),16,16
CEU Cog Dev Center,0,32
Baby Lab_Unitn (PI: Luca Surian),32,16
INCC Babylab,16,16
Josephine Ross,16,0
Comparative Cultural Psychology (Daniel Haun / Manuel Bohn),0,24
Babylab Leiden,16,16
UIUC Child Development Labs,16,16
Forscher Früchtchen (PI: Marco Schmidt),0,16
Milestones of Early Cognitive Development,16,24
LFE Leipzig,16,16
KU Copenhagen (PI: Victoria Southgate),0,32
Säuglings- und Kleinkindforschung Uni Köln,24,24
Center for Emotion and Cognition,32,32
Center for Infant Cognition,0,32
Baby & Child Research Center,16,16
MPIB BabyLab,16,16
KoKu Forschungszentrum (PI:Ulf Liszkowski),16,16
