lab_id,data_fine
babylabBrookes,yes
babylabChicago,yes
babylabMPIB,yes
babylabPrinceton,yes
babylabTrento,yes
babylabUmassb,yes
babyLeidenEdu,yes
babylingOslo,yes
careylabHarvard,yes
cecBYU,yes
childdevlabAshoka,yes
CorbitLab,yes
gaugGöttingen,yes
infantcogUBC,yes
irlConcordia,yes
jmuCDL,yes
kidsdevUniofNewcastle,yes
kokuHamburg,yes
lmuMunich,yes
MEyeLab,yes
MiniDundee,yes
mpievaCCP,yes
PKUSu,no?
SkidLSDLab,yes
socialcogUmiami,yes
sociocognitivelab,yes
tauccd,yes
ToMcdlSalzburg,yes
UIUCinfantlab,yes
unicph,yes
WSUMARCS,yes
affcogUTSC,yes
babylabAmsterdam,no?
babylabNijmegen,yes
beinghumanWroclaw,yes
CogConcordia,yes
collabUIOWA,yes
DevlabAU,yes
labUNAM,yes
mecdmpihcbs,yes
saxelab,yes
babylabINCC,yes
babyuniHeidelberg,yes
cclUNIRI,yes
gertlabLancaster,yes
babylabOxford,yes
socallabUCSD,yes
