lab_id,data_fine
babylabBrookes,yes
babylabChicago,yes
babylabTrento,yes
babylabUmassb,yes
babyLeidenEdu,yes
careylabHarvard,yes
cecBYU,yes
childdevlabAshoka,yes
gaugGöttingen,yes
infantcogUBC,yes
irlConcordia,yes
jmuCDL,yes
kokuHamburg,yes
lmuMunich,yes
MiniDundee,yes
mpievaCCP,no?
PKUSu,yes
SkidLSDLab,yes
socialcogUmiami,yes
ToMcdlSalzburg,yes
WSUMARCS,yes
affcogUTSC,yes
babylabAmsterdam,no?
babylabNijmegen,yes
beinghumanWroclaw,yes
CogConcordia,yes?
collabUIOWA,yes
DevlabAU,yes
labUNAM,yes
mecdmpihcbs,yes
saxelab,yes
babylabINCC,yes
babylabMPIB,yes
babylabPrinceton,no
babylingOslo,yes
babyuniHeidelberg,yes
cclUNIRI,yes?
CorbitLab,yes
gertlabLancaster,yes
kidsdevUniofNewcastle,yes
MEyeLab,yes
babylabOxford,yes
socallabUCSD,yes?
sociocognitivelab,yes
tauccd,no?
UIUCinfantlab,yes
unicph,yes
