lab_subject_id,lab_trial_id,trial_num,condition,experiment_num,aoi_region_id,dataset_id,distractor_image,distractor_label,full_phrase,point_of_disambiguation,target_image,target_label,target_side,distractor_id,target_id,trial_id
lmu_adult_27,FAM_LL1_1280x960.avi,8,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,0
lmu_adult_27,FAM_LL2_1280x960.avi,4,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,1
lmu_adult_27,FAM_LR1_1280x960.avi,2,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,2
lmu_adult_27,FAM_LR2_1280x960.avi,7,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,3
lmu_adult_27,FAM_RL1_1280x960.avi,1,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,4
lmu_adult_27,FAM_RL2_1280x960.avi,3,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,5
lmu_adult_27,FAM_RR1_1280x960.avi,5,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,6
lmu_adult_27,FAM_RR2_1280x960.avi,6,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,7
lmu_adult_28,FAM_LL1_1280x960.avi,8,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,8
lmu_adult_28,FAM_LL2_1280x960.avi,4,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,9
lmu_adult_28,FAM_LR1_1280x960.avi,2,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,10
lmu_adult_28,FAM_LR2_1280x960.avi,7,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,11
lmu_adult_28,FAM_RL1_1280x960.avi,1,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,12
lmu_adult_28,FAM_RL2_1280x960.avi,3,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,13
lmu_adult_28,FAM_RR1_1280x960.avi,5,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,14
lmu_adult_28,FAM_RR2_1280x960.avi,6,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,15
lmu_adult_29,FAM_LL1_1280x960.avi,8,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,16
lmu_adult_29,FAM_LL2_1280x960.avi,4,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,17
lmu_adult_29,FAM_LR1_1280x960.avi,2,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,18
lmu_adult_29,FAM_LR2_1280x960.avi,7,LR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,19
lmu_adult_29,FAM_RL1_1280x960.avi,1,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,20
lmu_adult_29,FAM_RL2_1280x960.avi,3,RL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,21
lmu_adult_29,FAM_RR1_1280x960.avi,5,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,22
lmu_adult_29,FAM_RR2_1280x960.avi,6,RR,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,right,0,0,23
lmu_adult01,FAM_LL1_1280x960.avi,1,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,24
lmu_adult01,FAM_LL2_1280x960.avi,5,LL,pilot_1a_adult,0,13,distractor,distractor,NA,31130,target,target,left,0,0,25
