dataset_id,subject_id,trial_id,t,aoi,aoi_data_id
9,0,0,-29950,other,0
9,0,0,-29875,other,1
9,0,0,-29775,other,2
9,0,0,-29750,distractor,3
9,0,0,-29700,other,4
9,0,0,-29675,other,5
9,0,0,-29650,other,6
9,0,0,-29625,other,7
9,0,0,-29600,other,8
9,0,0,-29575,other,9
9,0,0,-29550,other,10
9,0,0,-29525,other,11
9,0,0,-29500,other,12
9,0,0,-29475,other,13
9,0,0,-29450,other,14
9,0,0,-29425,other,15
9,0,0,-29400,other,16
9,0,0,-29375,other,17
9,0,0,-29350,other,18
9,0,0,-29325,other,19
9,0,0,-29300,other,20
9,0,0,-29275,other,21
9,0,0,-29250,other,22
9,0,0,-29225,other,23
9,0,0,-29200,other,24
9,0,0,-29175,other,25
9,0,0,-29150,other,26
9,0,0,-29125,other,27
9,0,0,-29100,other,28
9,0,0,-29075,other,29
9,0,0,-29050,other,30
9,0,0,-29025,other,31
9,0,0,-29000,other,32
9,0,0,-28975,other,33
9,0,0,-28950,other,34
9,0,0,-28925,other,35
9,0,0,-28900,other,36
9,0,0,-28875,other,37
9,0,0,-28850,other,38
9,0,0,-28825,other,39
9,0,0,-28800,other,40
9,0,0,-28775,other,41
9,0,0,-28750,other,42
9,0,0,-28725,other,43
9,0,0,-28700,other,44
9,0,0,-28675,other,45
9,0,0,-28650,other,46
9,0,0,-28625,other,47
9,0,0,-28600,other,48
9,0,0,-28575,other,49
9,0,0,-28550,other,50
9,0,0,-28525,other,51
9,0,0,-28500,other,52
9,0,0,-28475,other,53
9,0,0,-28450,other,54
9,0,0,-28425,other,55
9,0,0,-28400,other,56
9,0,0,-28375,other,57
9,0,0,-28350,other,58
9,0,0,-28325,other,59
9,0,0,-28300,other,60
9,0,0,-28275,other,61
9,0,0,-28250,other,62
9,0,0,-28225,other,63
9,0,0,-28200,other,64
9,0,0,-28175,other,65
9,0,0,-28150,other,66
9,0,0,-28125,other,67
9,0,0,-28100,other,68
9,0,0,-28075,other,69
9,0,0,-28050,other,70
9,0,0,-28025,other,71
9,0,0,-28000,other,72
9,0,0,-27975,other,73
9,0,0,-27950,other,74
9,0,0,-27925,other,75
9,0,0,-27900,other,76
9,0,0,-27875,other,77
9,0,0,-27850,other,78
9,0,0,-27825,other,79
9,0,0,-27800,other,80
9,0,0,-27775,other,81
9,0,0,-27750,other,82
9,0,0,-27725,other,83
9,0,0,-27700,other,84
9,0,0,-27675,other,85
9,0,0,-27650,other,86
9,0,0,-27625,other,87
9,0,0,-27600,other,88
9,0,0,-27575,other,89
9,0,0,-27550,other,90
9,0,0,-27525,other,91
9,0,0,-27400,other,92
9,0,0,-27375,other,93
9,0,0,-27350,other,94
9,0,0,-27325,other,95
9,0,0,-27300,other,96
9,0,0,-27275,other,97
9,0,0,-27250,other,98
