dataset_id,subject_id,trial_id,t,aoi,aoi_data_id
8,0,0,-29950,other,0
8,0,0,-29925,other,1
8,0,0,-29900,other,2
8,0,0,-29875,other,3
8,0,0,-29800,other,4
8,0,0,-29775,other,5
8,0,0,-29750,other,6
8,0,0,-29725,other,7
8,0,0,-29700,other,8
8,0,0,-29675,other,9
8,0,0,-29650,other,10
8,0,0,-29625,other,11
8,0,0,-29600,other,12
8,0,0,-29575,other,13
8,0,0,-29550,other,14
8,0,0,-29525,other,15
8,0,0,-29500,other,16
8,0,0,-29475,other,17
8,0,0,-29450,other,18
8,0,0,-29425,other,19
8,0,0,-29400,other,20
8,0,0,-29375,other,21
8,0,0,-29350,other,22
8,0,0,-29325,other,23
8,0,0,-29300,other,24
8,0,0,-13050,target,25
8,0,0,-13025,target,26
8,0,0,-12975,target,27
8,0,0,-12950,target,28
8,0,0,-12925,target,29
8,0,0,-12900,target,30
8,0,0,-12875,target,31
8,0,0,-12850,target,32
8,0,0,-12825,target,33
8,0,0,-12800,target,34
8,0,0,-12775,target,35
8,0,0,-12750,target,36
8,0,0,-12725,target,37
8,0,0,-12700,target,38
8,0,0,-12675,target,39
8,0,0,-12650,target,40
8,0,0,-12625,target,41
8,0,0,-12600,target,42
8,0,0,-12575,target,43
8,0,0,-12550,target,44
8,0,0,-12525,target,45
8,0,0,-12500,target,46
8,0,0,-12475,target,47
8,0,0,-12450,target,48
8,0,0,-12425,target,49
8,0,0,-12400,target,50
8,0,0,-12375,target,51
8,0,0,-12350,target,52
8,0,0,-12325,target,53
8,0,0,-12300,target,54
8,0,0,-12275,target,55
8,0,0,-12250,target,56
8,0,0,-12225,target,57
8,0,0,-12200,target,58
8,0,0,-12175,target,59
8,0,0,-12150,target,60
8,0,0,-12125,target,61
8,0,0,-12100,target,62
8,0,0,-11850,target,63
8,0,0,-11825,target,64
8,0,0,-11800,target,65
8,0,0,-11775,target,66
8,0,0,-11750,target,67
8,0,0,-11725,target,68
8,0,0,-11700,target,69
8,0,0,-11675,target,70
8,0,0,-11650,target,71
8,0,0,-11625,target,72
8,0,0,-11600,target,73
8,0,0,-11575,target,74
8,0,0,-11550,target,75
8,0,0,-11500,target,76
8,0,0,-11475,target,77
8,0,0,-11450,target,78
8,0,0,-11425,target,79
8,0,0,-11400,target,80
8,0,0,-11375,target,81
8,0,0,-11350,target,82
8,0,0,-11300,target,83
8,0,0,-11275,target,84
8,0,0,-11250,target,85
8,0,0,-11225,target,86
8,0,0,-11200,target,87
8,0,0,-11175,target,88
8,0,0,-11150,target,89
8,0,0,-11125,target,90
8,0,0,-11100,target,91
8,0,0,-11075,target,92
8,0,0,-11050,target,93
8,0,0,-11025,target,94
8,0,0,-11000,target,95
8,0,0,-10975,target,96
8,0,0,-10950,target,97
8,0,0,-10925,target,98
8,0,0,-10900,target,99
8,0,0,-10875,target,100
8,0,0,-10850,target,101
8,0,0,-10825,target,102
8,0,0,-10800,target,103
8,0,0,-10775,target,104
8,0,0,-10750,target,105
8,0,0,-10725,target,106
8,0,0,-10700,target,107
8,0,0,-10675,target,108
8,0,0,-10650,target,109
8,0,0,-10625,target,110
8,0,0,-10600,target,111
8,0,0,-10575,other,112
8,0,0,-10550,other,113
8,0,0,-10525,other,114
8,0,0,-10500,other,115
8,0,0,-10475,other,116
8,0,0,-10450,other,117
8,0,0,-10425,other,118
8,0,0,-10400,other,119
8,0,0,-10375,other,120
8,0,0,-10350,other,121
8,0,0,-10325,other,122
8,0,0,-10300,other,123
8,0,0,-10275,other,124
8,0,0,-10250,other,125
8,0,0,-10225,other,126
8,0,0,-10200,other,127
8,0,0,-10175,other,128
8,0,0,-10150,other,129
8,0,0,-10125,other,130
8,0,0,-10100,other,131
8,0,0,-10075,other,132
8,0,0,-10050,other,133
8,0,0,-10025,other,134
8,0,0,-10000,other,135
8,0,0,-9975,other,136
8,0,0,-9950,other,137
8,0,0,-9925,other,138
8,0,0,-9900,other,139
8,0,0,-9875,other,140
8,0,0,-9850,other,141
8,0,0,-9825,other,142
8,0,0,-9800,other,143
8,0,0,-9775,other,144
8,0,0,-9750,target,145
8,0,0,-9725,target,146
8,0,0,-9700,target,147
8,0,0,-9675,target,148
8,0,0,-9650,target,149
8,0,0,-9625,target,150
8,0,0,-9600,target,151
8,0,0,-9575,target,152
8,0,0,-9550,target,153
8,0,0,-9525,target,154
8,0,0,-9500,target,155
8,0,0,-9475,target,156
8,0,0,-9450,target,157
8,0,0,-9425,target,158
8,0,0,-9400,target,159
8,0,0,-9375,target,160
8,0,0,-9350,target,161
8,0,0,-9325,target,162
8,0,0,-9300,target,163
8,0,0,-9275,target,164
8,0,0,-9250,target,165
8,0,0,-9225,target,166
8,0,0,-9200,target,167
8,0,0,-9175,target,168
8,0,0,-9150,target,169
8,0,0,-9125,target,170
8,0,0,-9100,target,171
8,0,0,-9075,target,172
8,0,0,-9050,target,173
8,0,0,-9025,target,174
8,0,0,-9000,target,175
8,0,0,-8975,target,176
8,0,0,-8950,target,177
8,0,0,-8925,target,178
8,0,0,-8900,target,179
8,0,0,-8875,target,180
8,0,0,-8850,target,181
8,0,0,-8475,target,182
8,0,0,-8450,target,183
8,0,0,-8425,target,184
8,0,0,-8400,target,185
8,0,0,-8375,target,186
8,0,0,-8350,target,187
8,0,0,-8325,target,188
8,0,0,-8300,target,189
8,0,0,-8275,target,190
8,0,0,-8250,target,191
8,0,0,-8225,target,192
8,0,0,-8200,target,193
8,0,0,-8175,target,194
8,0,0,-8150,target,195
8,0,0,-8125,target,196
8,0,0,-8100,target,197
8,0,0,-8075,target,198
8,0,0,-8050,target,199
8,0,0,-8025,target,200
8,0,0,-8000,target,201
8,0,0,-7975,target,202
8,0,0,-7950,target,203
8,0,0,-7925,target,204
8,0,0,-7900,target,205
8,0,0,-7875,target,206
8,0,0,-7850,target,207
8,0,0,-7825,target,208
8,0,0,-7800,target,209
8,0,0,-7775,target,210
8,0,0,-7750,target,211
8,0,0,-7725,target,212
8,0,0,-7700,target,213
8,0,0,-7675,target,214
8,0,0,-7650,target,215
8,0,0,-7625,target,216
8,0,0,-7600,target,217
8,0,0,-7575,target,218
8,0,0,-7550,target,219
8,0,0,-7525,target,220
8,0,0,-7475,target,221
8,0,0,-7450,target,222
8,0,0,-7425,target,223
8,0,0,-7400,target,224
8,0,0,-7375,target,225
