lab_subject_id,lab_trial_id,trial_num,condition,aoi_region_id,dataset_id,distractor_image,distractor_label,full_phrase,point_of_disambiguation,target_image,target_label,target_side,trial_id
mb2_p10,FAM_LL_1200x900X.xvd_5,4,LL,0,5,distractor,distractor,NA,30600,target,target,left,0
mb2_p10,FAM_LL_1200x900X.xvd_9,8,LL,0,5,distractor,distractor,NA,30600,target,target,left,1
mb2_p10,FAM_LR_1200x900X.xvd_3,2,LR,0,5,distractor,distractor,NA,30600,target,target,right,2
mb2_p10,FAM_LR_1200x900X.xvd_8,7,LR,0,5,distractor,distractor,NA,30600,target,target,right,3
mb2_p10,FAM_RL_1200x900X.xvd_2,1,RL,0,5,distractor,distractor,NA,30600,target,target,left,4
mb2_p10,FAM_RL_1200x900X.xvd_4,3,RL,0,5,distractor,distractor,NA,30600,target,target,left,5
mb2_p10,FAM_RR_1200x900X.xvd_6,5,RR,0,5,distractor,distractor,NA,30600,target,target,right,6
mb2_p10,FAM_RR_1200x900X.xvd_7,6,RR,0,5,distractor,distractor,NA,30600,target,target,right,7
mb2_p11,FAM_LL_1200x900X.xvd_2,1,LL,0,5,distractor,distractor,NA,30600,target,target,left,8
mb2_p11,FAM_LL_1200x900X.xvd_6,5,LL,0,5,distractor,distractor,NA,30600,target,target,left,9
mb2_p11,FAM_LR_1200x900X.xvd_3,2,LR,0,5,distractor,distractor,NA,30600,target,target,right,10
mb2_p11,FAM_LR_1200x900X.xvd_8,7,LR,0,5,distractor,distractor,NA,30600,target,target,right,11
mb2_p11,FAM_RL_1200x900X.xvd_7,6,RL,0,5,distractor,distractor,NA,30600,target,target,left,12
mb2_p11,FAM_RL_1200x900X.xvd_9,8,RL,0,5,distractor,distractor,NA,30600,target,target,left,13
mb2_p11,FAM_RR_1200x900X.xvd_4,3,RR,0,5,distractor,distractor,NA,30600,target,target,right,14
mb2_p11,FAM_RR_1200x900X.xvd_5,4,RR,0,5,distractor,distractor,NA,30600,target,target,right,15
mb2_p12,FAM_LL_1200x900X.xvd_5,4,LL,0,5,distractor,distractor,NA,30600,target,target,left,16
mb2_p12,FAM_LL_1200x900X.xvd_9,8,LL,0,5,distractor,distractor,NA,30600,target,target,left,17
mb2_p12,FAM_LR_1200x900X.xvd_3,2,LR,0,5,distractor,distractor,NA,30600,target,target,right,18
mb2_p12,FAM_LR_1200x900X.xvd_8,7,LR,0,5,distractor,distractor,NA,30600,target,target,right,19
mb2_p12,FAM_RL_1200x900X.xvd_2,1,RL,0,5,distractor,distractor,NA,30600,target,target,left,20
mb2_p12,FAM_RL_1200x900X.xvd_4,3,RL,0,5,distractor,distractor,NA,30600,target,target,left,21
mb2_p12,FAM_RR_1200x900X.xvd_6,5,RR,0,5,distractor,distractor,NA,30600,target,target,right,22
mb2_p12,FAM_RR_1200x900X.xvd_7,6,RR,0,5,distractor,distractor,NA,30600,target,target,right,23
mb2_p13,FAM_LL_1200x900X.xvd_2,1,LL,0,5,distractor,distractor,NA,30600,target,target,left,24
mb2_p13,FAM_LL_1200x900X.xvd_6,5,LL,0,5,distractor,distractor,NA,30600,target,target,left,25
mb2_p13,FAM_LR_1200x900X.xvd_3,2,LR,0,5,distractor,distractor,NA,30600,target,target,right,26
mb2_p13,FAM_LR_1200x900X.xvd_8,7,LR,0,5,distractor,distractor,NA,30600,target,target,right,27
mb2_p13,FAM_RL_1200x900X.xvd_7,6,RL,0,5,distractor,distractor,NA,30600,target,target,left,28
mb2_p13,FAM_RL_1200x900X.xvd_9,8,RL,0,5,distractor,distractor,NA,30600,target,target,left,29
mb2_p13,FAM_RR_1200x900X.xvd_4,3,RR,0,5,distractor,distractor,NA,30600,target,target,right,30
mb2_p13,FAM_RR_1200x900X.xvd_5,4,RR,0,5,distractor,distractor,NA,30600,target,target,right,31
mb2_p14,FAM_LL_1200x900X.xvd_5,4,LL,0,5,distractor,distractor,NA,30600,target,target,left,32
mb2_p14,FAM_LR_1200x900X.xvd_3,2,LR,0,5,distractor,distractor,NA,30600,target,target,right,33
mb2_p14,FAM_RL_1200x900X.xvd_2,1,RL,0,5,distractor,distractor,NA,30600,target,target,left,34
mb2_p14,FAM_RL_1200x900X.xvd_4,3,RL,0,5,distractor,distractor,NA,30600,target,target,left,35
mb2_p14,FAM_RR_1200x900X.xvd_6,5,RR,0,5,distractor,distractor,NA,30600,target,target,right,36
mb2_p15,FAM_LL_1200x900X.xvd_2,1,LL,0,5,distractor,distractor,NA,30600,target,target,left,37
mb2_p15,FAM_LL_1200x900X.xvd_6,5,LL,0,5,distractor,distractor,NA,30600,target,target,left,38
mb2_p15,FAM_LR_1200x900X.xvd_3,2,LR,0,5,distractor,distractor,NA,30600,target,target,right,39
mb2_p15,FAM_LR_1200x900X.xvd_8,7,LR,0,5,distractor,distractor,NA,30600,target,target,right,40
mb2_p15,FAM_RL_1200x900X.xvd_7,6,RL,0,5,distractor,distractor,NA,30600,target,target,left,41
mb2_p15,FAM_RL_1200x900X.xvd_9,8,RL,0,5,distractor,distractor,NA,30600,target,target,left,42
mb2_p15,FAM_RR_1200x900X.xvd_4,3,RR,0,5,distractor,distractor,NA,30600,target,target,right,43
mb2_p15,FAM_RR_1200x900X.xvd_5,4,RR,0,5,distractor,distractor,NA,30600,target,target,right,44
