3790.629 ********************************************************
3790.693 ** Session beginning Wednesday June 05, 2019 09:25:01 AM **
3790.698 ** ExperimentBuilder Project : mb2_p8 **
3790.699 ** ExperimentBuilder Version : 2.1.140 **
3790.699 ** ExperimentBuilder Build   : Nov 10 2017 **
3790.700 ********************************************************
3790.702 TRACKER_TIME 0 928943.544
4379.224 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO (BEGIN) 
4401.137 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO
4424.662 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO (BEGIN) 
4458.108 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO (BEGIN) 
4491.468 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO (BEGIN) 
4524.819 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO (BEGIN) 
4558.274 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO (BEGIN) 
4591.440 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO (BEGIN) 
4624.823 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO (BEGIN) 
4658.312 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO (BEGIN) 
4691.543 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO (BEGIN) 
4724.915 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO (BEGIN) 
4758.219 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO (BEGIN) 
4791.354 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO (BEGIN) 
4825.962 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO (BEGIN) 
4858.079 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO (BEGIN) 
4891.101 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO (BEGIN) 
4894.878 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO (BEGIN) 
4924.418 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO (BEGIN) 
4927.996 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO (BEGIN) 
4958.158 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO (BEGIN) 
4991.309 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO (BEGIN) 
4994.828 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO (BEGIN) 
5024.929 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO (BEGIN) 
5057.725 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO (BEGIN) 
5061.201 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO (BEGIN) 
5091.359 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO (BEGIN) 
5124.900 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO (BEGIN) 
5158.064 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO (BEGIN) 
5191.257 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO (BEGIN) 
5194.704 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO (BEGIN) 
5224.635 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO (BEGIN) 
5258.367 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO (BEGIN) 
5291.758 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO (BEGIN) 
5324.699 DISPLAY_INTRO_VIDEO DISPLAY_INTRO_VIDEO (BEGIN) 
