lab_subject_id,lab_trial_id,trial_num,condition,aoi_region_id,dataset_id,distractor_image,distractor_label,full_phrase,point_of_disambiguation,target_image,target_label,target_side,trial_id
AA12,FAM_LL_1200x9001.aviTrial009,4,LL,0,2,distractor,distractor,NA,30600,target,target,left,0
AA12,FAM_LL_1200x9001.aviTrial017,8,LL,0,2,distractor,distractor,NA,30600,target,target,left,1
AA12,FAM_LR_1200x9001.aviTrial005,2,LR,0,2,distractor,distractor,NA,30600,target,target,right,2
AA12,FAM_LR_1200x9001.aviTrial015,7,LR,0,2,distractor,distractor,NA,30600,target,target,right,3
AA12,FAM_RL_1200x9001.aviTrial003,1,RL,0,2,distractor,distractor,NA,30600,target,target,left,4
AA12,FAM_RL_1200x9001.aviTrial007,3,RL,0,2,distractor,distractor,NA,30600,target,target,left,5
AA12,FAM_RR_1200x9001.aviTrial011,5,RR,0,2,distractor,distractor,NA,30600,target,target,right,6
AA12,FAM_RR_1200x9001.aviTrial013,6,RR,0,2,distractor,distractor,NA,30600,target,target,right,7
AC15,FAM_LL_1200x9001.aviTrial003,1,LL,0,2,distractor,distractor,NA,30600,target,target,left,8
AC15,FAM_LR_1200x9001.aviTrial005,2,LR,0,2,distractor,distractor,NA,30600,target,target,right,9
AC15,FAM_RR_1200x9001.aviTrial007,3,RR,0,2,distractor,distractor,NA,30600,target,target,right,10
AC15,FAM_RR_1200x9001.aviTrial009,4,RR,0,2,distractor,distractor,NA,30600,target,target,right,11
AJ09,FAM_LL_1200x9001.aviTrial003,1,LL,0,2,distractor,distractor,NA,30600,target,target,left,12
AJ09,FAM_LL_1200x9001.aviTrial011,5,LL,0,2,distractor,distractor,NA,30600,target,target,left,13
AJ09,FAM_LR_1200x9001.aviTrial005,2,LR,0,2,distractor,distractor,NA,30600,target,target,right,14
AJ09,FAM_LR_1200x9001.aviTrial015,7,LR,0,2,distractor,distractor,NA,30600,target,target,right,15
AJ09,FAM_RL_1200x9001.aviTrial013,6,RL,0,2,distractor,distractor,NA,30600,target,target,left,16
AJ09,FAM_RL_1200x9001.aviTrial017,8,RL,0,2,distractor,distractor,NA,30600,target,target,left,17
AJ09,FAM_RR_1200x9001.aviTrial007,3,RR,0,2,distractor,distractor,NA,30600,target,target,right,18
AJ09,FAM_RR_1200x9001.aviTrial009,4,RR,0,2,distractor,distractor,NA,30600,target,target,right,19
AM07,FAM_LL_1200x9001.aviTrial009,4,LL,0,2,distractor,distractor,NA,30600,target,target,left,20
AM07,FAM_LR_1200x9001.aviTrial005,2,LR,0,2,distractor,distractor,NA,30600,target,target,right,21
AM07,FAM_RL_1200x9001.aviTrial003,1,RL,0,2,distractor,distractor,NA,30600,target,target,left,22
AM07,FAM_RL_1200x9001.aviTrial007,3,RL,0,2,distractor,distractor,NA,30600,target,target,left,23
AM07,FAM_RR_1200x9001.aviTrial011,5,RR,0,2,distractor,distractor,NA,30600,target,target,right,24
EH08,FAM_LL_1200x9001.aviTrial009,4,LL,0,2,distractor,distractor,NA,30600,target,target,left,25
EH08,FAM_LL_1200x9001.aviTrial017,8,LL,0,2,distractor,distractor,NA,30600,target,target,left,26
EH08,FAM_LR_1200x9001.aviTrial005,2,LR,0,2,distractor,distractor,NA,30600,target,target,right,27
EH08,FAM_LR_1200x9001.aviTrial015,7,LR,0,2,distractor,distractor,NA,30600,target,target,right,28
EH08,FAM_RL_1200x9001.aviTrial003,1,RL,0,2,distractor,distractor,NA,30600,target,target,left,29
EH08,FAM_RL_1200x9001.aviTrial007,3,RL,0,2,distractor,distractor,NA,30600,target,target,left,30
EH08,FAM_RR_1200x9001.aviTrial011,5,RR,0,2,distractor,distractor,NA,30600,target,target,right,31
EH08,FAM_RR_1200x9001.aviTrial013,6,RR,0,2,distractor,distractor,NA,30600,target,target,right,32
FL05,FAM_LL_1200x9001.aviTrial003,1,LL,0,2,distractor,distractor,NA,30600,target,target,left,33
FL05,FAM_LL_1200x9001.aviTrial011,5,LL,0,2,distractor,distractor,NA,30600,target,target,left,34
FL05,FAM_LR_1200x9001.aviTrial005,2,LR,0,2,distractor,distractor,NA,30600,target,target,right,35
FL05,FAM_LR_1200x9001.aviTrial015,7,LR,0,2,distractor,distractor,NA,30600,target,target,right,36
FL05,FAM_RL_1200x9001.aviTrial013,6,RL,0,2,distractor,distractor,NA,30600,target,target,left,37
FL05,FAM_RL_1200x9001.aviTrial017,8,RL,0,2,distractor,distractor,NA,30600,target,target,left,38
FL05,FAM_RR_1200x9001.aviTrial007,3,RR,0,2,distractor,distractor,NA,30600,target,target,right,39
FL05,FAM_RR_1200x9001.aviTrial009,4,RR,0,2,distractor,distractor,NA,30600,target,target,right,40
FW03,FAM_LL_1200x9001.aviTrial003,1,LL,0,2,distractor,distractor,NA,30600,target,target,left,41
FW03,FAM_LL_1200x9001.aviTrial011,5,LL,0,2,distractor,distractor,NA,30600,target,target,left,42
FW03,FAM_LR_1200x9001.aviTrial005,2,LR,0,2,distractor,distractor,NA,30600,target,target,right,43
FW03,FAM_LR_1200x9001.aviTrial015,7,LR,0,2,distractor,distractor,NA,30600,target,target,right,44
FW03,FAM_RL_1200x9001.aviTrial013,6,RL,0,2,distractor,distractor,NA,30600,target,target,left,45
FW03,FAM_RL_1200x9001.aviTrial017,8,RL,0,2,distractor,distractor,NA,30600,target,target,left,46
FW03,FAM_RR_1200x9001.aviTrial007,3,RR,0,2,distractor,distractor,NA,30600,target,target,right,47
FW03,FAM_RR_1200x9001.aviTrial009,4,RR,0,2,distractor,distractor,NA,30600,target,target,right,48
HL13,FAM_LL_1200x9001.aviTrial009,4,LL,0,2,distractor,distractor,NA,30600,target,target,left,49
HL13,FAM_LL_1200x9001.aviTrial017,8,LL,0,2,distractor,distractor,NA,30600,target,target,left,50
HL13,FAM_LR_1200x9001.aviTrial005,2,LR,0,2,distractor,distractor,NA,30600,target,target,right,51
HL13,FAM_LR_1200x9001.aviTrial015,7,LR,0,2,distractor,distractor,NA,30600,target,target,right,52
HL13,FAM_RL_1200x9001.aviTrial003,1,RL,0,2,distractor,distractor,NA,30600,target,target,left,53
HL13,FAM_RL_1200x9001.aviTrial007,3,RL,0,2,distractor,distractor,NA,30600,target,target,left,54
HL13,FAM_RR_1200x9001.aviTrial011,5,RR,0,2,distractor,distractor,NA,30600,target,target,right,55
HL13,FAM_RR_1200x9001.aviTrial013,6,RR,0,2,distractor,distractor,NA,30600,target,target,right,56
JB04,FAM_LL_1200x9001.aviTrial003,1,LL,0,2,distractor,distractor,NA,30600,target,target,left,57
JB04,FAM_LL_1200x9001.aviTrial011,5,LL,0,2,distractor,distractor,NA,30600,target,target,left,58
JB04,FAM_LR_1200x9001.aviTrial005,2,LR,0,2,distractor,distractor,NA,30600,target,target,right,59
JB04,FAM_LR_1200x9001.aviTrial015,7,LR,0,2,distractor,distractor,NA,30600,target,target,right,60
JB04,FAM_RL_1200x9001.aviTrial013,6,RL,0,2,distractor,distractor,NA,30600,target,target,left,61
JB04,FAM_RL_1200x9001.aviTrial017,8,RL,0,2,distractor,distractor,NA,30600,target,target,left,62
JB04,FAM_RR_1200x9001.aviTrial007,3,RR,0,2,distractor,distractor,NA,30600,target,target,right,63
JB04,FAM_RR_1200x9001.aviTrial009,4,RR,0,2,distractor,distractor,NA,30600,target,target,right,64
LP10,FAM_LL_1200x9001.aviTrial003,1,LL,0,2,distractor,distractor,NA,30600,target,target,left,65
LP10,FAM_LL_1200x9001.aviTrial011,5,LL,0,2,distractor,distractor,NA,30600,target,target,left,66
LP10,FAM_LR_1200x9001.aviTrial005,2,LR,0,2,distractor,distractor,NA,30600,target,target,right,67
LP10,FAM_LR_1200x9001.aviTrial015,7,LR,0,2,distractor,distractor,NA,30600,target,target,right,68
LP10,FAM_RL_1200x9001.aviTrial013,6,RL,0,2,distractor,distractor,NA,30600,target,target,left,69
LP10,FAM_RL_1200x9001.aviTrial017,8,RL,0,2,distractor,distractor,NA,30600,target,target,left,70
LP10,FAM_RR_1200x9001.aviTrial007,3,RR,0,2,distractor,distractor,NA,30600,target,target,right,71
LP10,FAM_RR_1200x9001.aviTrial009,4,RR,0,2,distractor,distractor,NA,30600,target,target,right,72
