lab_subject_id,lab_trial_id,trial_num,condition,aoi_region_id,dataset_id,distractor_image,distractor_label,full_phrase,point_of_disambiguation,target_image,target_label,target_side,trial_id
MB2_P1,FAM_LL1_1280x960.avi,1,LL,0,1,distractor,distractor,NA,30600,target,target,left,0
MB2_P1,FAM_LL2_1280x960.avi,5,LL,0,1,distractor,distractor,NA,30600,target,target,left,1
MB2_P1,FAM_LR1_1280x960.avi,7,LR,0,1,distractor,distractor,NA,30600,target,target,right,2
MB2_P1,FAM_LR2_1280x960.avi,2,LR,0,1,distractor,distractor,NA,30600,target,target,right,3
MB2_P1,FAM_RL1_1280x960.avi,8,RL,0,1,distractor,distractor,NA,30600,target,target,left,4
MB2_P1,FAM_RL2_1280x960.avi,6,RL,0,1,distractor,distractor,NA,30600,target,target,left,5
MB2_P1,FAM_RR1_1280x960.avi,4,RR,0,1,distractor,distractor,NA,30600,target,target,right,6
MB2_P1,FAM_RR2_1280x960.avi,3,RR,0,1,distractor,distractor,NA,30600,target,target,right,7
MB2_P2,FAM_LL1_1280x960.avi,8,LL,0,1,distractor,distractor,NA,30600,target,target,left,8
MB2_P2,FAM_LL2_1280x960.avi,4,LL,0,1,distractor,distractor,NA,30600,target,target,left,9
MB2_P2,FAM_LR1_1280x960.avi,2,LR,0,1,distractor,distractor,NA,30600,target,target,right,10
MB2_P2,FAM_LR2_1280x960.avi,7,LR,0,1,distractor,distractor,NA,30600,target,target,right,11
MB2_P2,FAM_RL1_1280x960.avi,1,RL,0,1,distractor,distractor,NA,30600,target,target,left,12
MB2_P2,FAM_RL2_1280x960.avi,3,RL,0,1,distractor,distractor,NA,30600,target,target,left,13
MB2_P2,FAM_RR1_1280x960.avi,5,RR,0,1,distractor,distractor,NA,30600,target,target,right,14
MB2_P2,FAM_RR2_1280x960.avi,6,RR,0,1,distractor,distractor,NA,30600,target,target,right,15
MB2_P3,FAM_LL1_1280x960.avi,1,LL,0,1,distractor,distractor,NA,30600,target,target,left,16
MB2_P3,FAM_LL2_1280x960.avi,5,LL,0,1,distractor,distractor,NA,30600,target,target,left,17
MB2_P3,FAM_LR1_1280x960.avi,7,LR,0,1,distractor,distractor,NA,30600,target,target,right,18
MB2_P3,FAM_LR2_1280x960.avi,2,LR,0,1,distractor,distractor,NA,30600,target,target,right,19
MB2_P3,FAM_RL1_1280x960.avi,8,RL,0,1,distractor,distractor,NA,30600,target,target,left,20
MB2_P3,FAM_RL2_1280x960.avi,6,RL,0,1,distractor,distractor,NA,30600,target,target,left,21
MB2_P3,FAM_RR1_1280x960.avi,4,RR,0,1,distractor,distractor,NA,30600,target,target,right,22
MB2_P3,FAM_RR2_1280x960.avi,3,RR,0,1,distractor,distractor,NA,30600,target,target,right,23
MB2_P4,FAM_LL1_1280x960.avi,8,LL,0,1,distractor,distractor,NA,30600,target,target,left,24
MB2_P4,FAM_LL2_1280x960.avi,4,LL,0,1,distractor,distractor,NA,30600,target,target,left,25
MB2_P4,FAM_LR1_1280x960.avi,2,LR,0,1,distractor,distractor,NA,30600,target,target,right,26
MB2_P4,FAM_LR2_1280x960.avi,7,LR,0,1,distractor,distractor,NA,30600,target,target,right,27
MB2_P4,FAM_RL1_1280x960.avi,1,RL,0,1,distractor,distractor,NA,30600,target,target,left,28
MB2_P4,FAM_RL2_1280x960.avi,3,RL,0,1,distractor,distractor,NA,30600,target,target,left,29
MB2_P4,FAM_RR1_1280x960.avi,5,RR,0,1,distractor,distractor,NA,30600,target,target,right,30
MB2_P4,FAM_RR2_1280x960.avi,6,RR,0,1,distractor,distractor,NA,30600,target,target,right,31
MB2_P5,FAM_LL1_1280x960.avi,1,LL,0,1,distractor,distractor,NA,30600,target,target,left,32
MB2_P5,FAM_LL2_1280x960.avi,5,LL,0,1,distractor,distractor,NA,30600,target,target,left,33
MB2_P5,FAM_LR1_1280x960.avi,7,LR,0,1,distractor,distractor,NA,30600,target,target,right,34
MB2_P5,FAM_LR2_1280x960.avi,2,LR,0,1,distractor,distractor,NA,30600,target,target,right,35
MB2_P5,FAM_RL1_1280x960.avi,8,RL,0,1,distractor,distractor,NA,30600,target,target,left,36
MB2_P5,FAM_RL2_1280x960.avi,6,RL,0,1,distractor,distractor,NA,30600,target,target,left,37
MB2_P5,FAM_RR1_1280x960.avi,4,RR,0,1,distractor,distractor,NA,30600,target,target,right,38
MB2_P5,FAM_RR2_1280x960.avi,3,RR,0,1,distractor,distractor,NA,30600,target,target,right,39
